trial_id,source_dataset,alignment,n_channels,time_axis_status,confirmed_fields,missing_required_fields,formal_training_blocker
23,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
24,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
25,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
26,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
27,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
28,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
29,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
30,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
31,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
32,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
33,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
34,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
35,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
36,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
37,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
38,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
39,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
40,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
41,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
42,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
43,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
44,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
45,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
46,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
47,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
48,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
49,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
50,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
51,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
52,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
53,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
54,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
55,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
56,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
57,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
58,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
59,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
60,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
61,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
62,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
63,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
64,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
65,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
66,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
67,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
68,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
69,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
70,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
71,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
72,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
73,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
74,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
75,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
76,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
77,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
78,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
79,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
80,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
81,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
82,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
83,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
84,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
85,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
86,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
87,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
88,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
89,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
90,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
91,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
92,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
93,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
94,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
95,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
96,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
97,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
98,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
99,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
100,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
101,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
102,Kosciessa_et_al_2021,response_locked,3,inferred_from_notebook_plot_window,"trial_id,source_dataset,alignment,n_channels","subject_id,condition,evidence_strength,choice,correctness,RT_ms,response_hand,artifact_rejection_flag",Missing required trial-level metadata and source data are response-locked rather than stimulus-locked.
